City,State,Population,Literacy
Bally,West Bengal,293373,88.9
Dewas,Madhya Pradesh,289550,84.6
Tirupati,Andhra Pradesh,287482,87
Ichalkaranji,Maharashtra,287353,86
Karnal,Haryana,286827,84.6
Bathinda,Punjab,285788,81.7
Jalna,Maharashtra,285577,81.8
Kirari Suleman Nagar,Delhi,283211,79.9
Purnia,Bihar,282248,73
Satna,Madhya Pradesh,280222,84.8
Maunath Bhanjan,Uttar Pradesh,278745,77.1
Barasat,West Bengal,278435,89.6
Sonipat,Haryana,278149,85.5
Farrukhabad and Fatehgarh,Uttar Pradesh,276581,73.4
Sagar,Madhya Pradesh,273296,89.4
Raurkela,Orissa,272721,87
Durg,Chhattisgarh,268806,87.4
Imphal,Manipur,268243,90.8
Ratlam,Madhya Pradesh,264914,86.8
Hapur,Uttar Pradesh,262983,74
Arrah,Bihar,261430,81.2
Karimnagar,Andhra Pradesh,261185,85.8
Anantapur,Andhra Pradesh,261004,81.2
NDMC,Delhi,257803,89.8
Etawah,Uttar Pradesh,256838,81.8
Ambernath,Maharashtra,253475,87.2
Bharatpur,Rajasthan,252342,81
Begusarai,Bihar,252008,76.5
Tiruvottiyur,Tamil Nadu,249446,88.6
North Dum Dum,West Bengal,249142,91
Gandhidham,Gujarat,247992,81.8
Baranagar,West Bengal,245213,91.4
Puducherry,Puducherry,244377,89.2
Thoothukkudi,Tamil Nadu,237830,93.7
Sikar,Rajasthan,237532,75.6
Rewa,Madhya Pradesh,235654,86.3
Mirzapur and Vindhyachal,Uttar Pradesh,234871,76.5
Raichur,Karnataka,234073,77.7
Pali,Rajasthan,230075,77.5
Ramagundam,Andhra Pradesh,229644,75
Hardwar,Uttarakhand,228832,83.8
Vizianagaram,Andhra Pradesh,228025,81
Katihar,Bihar,226261,78.5
Nagercoil,Tamil Nadu,224849,95
Ganganagar,Rajasthan,224532,82.6
Karawal Nagar,Delhi,224281,84
Mango,Jharkhand,223805,85.8
Thanjavur,Tamil Nadu,222943,91.3
Bulandshahr,Uttar Pradesh,222519,77.5
Uluberia,West Bengal,222240,80
Murwara,Madhya Pradesh,221883,85.9
Sambhal,Uttar Pradesh,220813,48.3
Singrauli,Madhya Pradesh,220257,75.3
Nadiad,Gujarat,218095,86.8
Secunderabad,Andhra Pradesh,217910,85.1
Naihati,West Bengal,217900,87.5
Yamunanagar,Haryana,216677,85.4
Bidhan Nagar,West Bengal,215514,89.1
Pallavaram,Tamil Nadu,215417,92.9
Bidar,Karnataka,214373,85.9
Munger,Bihar,213303,80.1
Panchkula,Haryana,211355,86
Burhanpur,Madhya Pradesh,210886,80.8
Raurkela Industrial Township,Orissa,210317,85.5
Kharagpur,West Bengal,207604,85.8
Dindigul,Tamil Nadu,207327,90.2
Hospet,Karnataka,206167,79.3
Gandhinagar,Gujarat,206167,91
Nangloi Jat,Delhi,205596,82.7
English Bazar,West Bengal,205521,86.5
Ongole,Andhra Pradesh,204746,83
Eluru,Andhra Pradesh,203780,83.9
